,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9096209912536443,0.7454545454545455,0.8928571428571429,0.8873239436619719,0.8493108931884442,0.882502777954057
recall,0.9570552147239264,0.6119402985074627,0.7575757575757576,0.8873239436619719,0.7755237569357156,0.8873239436619719
f1-score,0.9327354260089686,0.6721311475409836,0.819672131147541,0.8873239436619719,0.8081795682324978,0.8829899438780247
support,326.0,67.0,33.0,0.8873239436619719,426.0,426.0
