,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9119318181818182,0.8604651162790697,0.8709677419354839,0.903755868544601,0.8811215587987906,0.9006640164362475
recall,0.9846625766871165,0.5522388059701493,0.8181818181818182,0.903755868544601,0.785027733613028,0.903755868544601
f1-score,0.9469026548672567,0.6727272727272727,0.84375,0.903755868544601,0.8211266425315098,0.8957904759611571
support,326.0,67.0,33.0,0.903755868544601,426.0,426.0
